[SILENCE] JOHN WRITE HOMEWORK [SILENCE];3;90;26
[SILENCE] JOHN WRITE HOMEWORK [SILENCE];3;75;21
[SILENCE] IX-1P SEE JOHN YESTERDAY IX [SILENCE];5;62;10
[SILENCE] JOHN IX-1P SEE IX YESTERDAY [SILENCE];5;86;15
[SILENCE] LOVE MARY JOHN [SILENCE];3;73;21
[SILENCE] LOVE MARY JOHN IX [SILENCE];4;67;14
[SILENCE] JOHN CAN GO CAN [SILENCE];4;94;21
[SILENCE] JOHN CAN GO CAN [SILENCE];4;78;17
[SILENCE] JOHN CAN GO1 CAN [SILENCE];4;77;16
[SILENCE] JOHN CAN GO CAN [SILENCE];4;75;16
[SILENCE] JOHN CAN GO1 CAN [SILENCE];4;56;11
[SILENCE] JOHN CAN GO CAN [SILENCE];4;64;13
[SILENCE] JOHN CAN GO1 CAN [SILENCE];4;68;14
[SILENCE] JOHN CAN GO1 CAN [SILENCE];4;76;16
[SILENCE] JOHN FUTURE GO2 PARTY FUTURE [SILENCE];5;74;12
[SILENCE] JOHN FUTURE1 GO IX [SILENCE];4;93;20
[SILENCE] JOHN FUTURE1 GO IX [SILENCE];4;57;11
[SILENCE] JOHN IX HIT BLAME FRED IX [SILENCE];6;87;12
[SILENCE] JOHN FISH WONT EAT BUT CAN EAT CHICKEN [SILENCE];8;102;11
[SILENCE] JOHN FISH WONT EAT BUT CAN EAT CHICKEN [SILENCE];8;133;15
[SILENCE] JOHN FISH WONT EAT BUT CAN EAT CHICKEN [SILENCE];8;124;14
[SILENCE] VEGETABLE CHINA IX PEOPLE PREFER BROCCOLI [SILENCE];6;105;15
[SILENCE] VEGETABLE CHINA IX PEOPLE PREFER BROCCOLI [SILENCE];6;115;17
[SILENCE] JOHN LIKE IX IX IX [SILENCE];5;61;10
[SILENCE] JOHN LIKE IX IX IX [SILENCE];5;83;14
[SILENCE] JOHN LIKE IX IX IX [SILENCE];5;61;10
[SILENCE] JOHN LIKE IX IX IX [SILENCE];5;53;8
[SILENCE] JOHN LIKE IX IX IX [SILENCE];5;59;9
[SILENCE] JOHN LIKE IX IX IX [SILENCE];5;83;14
[SILENCE] JOHN LIKE IX IX IX [SILENCE];5;95;17
[SILENCE] JOHN LEAVE IX [SILENCE];3;46;12
[SILENCE] JOHN LEAVE IX [SILENCE];3;44;11
[SILENCE] JOHN LEAVE IX [SILENCE];3;41;10
[SILENCE] JOHN SAY MARY IX-1P BUY HOUSE [SILENCE];6;82;12
[SILENCE] MARY VEGETABLE KNOW IX LIKE CORN [SILENCE];6;132;20
[SILENCE] MARY VEGETABLE KNOW IX LIKE CORN [SILENCE];6;146;22
[SILENCE] MARY VEGETABLE IX-1P KNOW IX LIKE CORN1 [SILENCE];7;99;12
[SILENCE] MARY VEGETABLE KNOW IX LIKE CORN1 [SILENCE];6;98;14
[SILENCE] JOHN IX THINK MARY LOVE [SILENCE];5;97;17
[SILENCE] JOHN IX THINK MARY LOVE [SILENCE];5;115;21
[SILENCE] JOHN IX THINK MARY LOVE [SILENCE];5;76;13
[SILENCE] JOHN CAN BUY HOUSE [SILENCE];4;65;13
[SILENCE] JOHN MUST BUY HOUSE [SILENCE];4;61;12
[SILENCE] JOHN FUTURE BUY HOUSE [SILENCE];4;52;10
[SILENCE] JOHN FUTURE NOT BUY HOUSE [SILENCE];5;79;13
[SILENCE] JOHN PAST LIVE CHICAGO [SILENCE];4;68;14
